;iteration;cost;upper_bound;rho
0;0;3172166.8312;0.0;5
1;1;669440.45831111;2125333.333333334;5
2;2;151814.2052444444;689111.1111111105;5
3;3;47529.34719999999;196933.3333333333;5
4;4;17973.791644444445;73333.33333333333;5
5;5;7470.803883900228;32063.492063492075;5
6;6;3264.4546775510207;15340.136054421775;5
7;7;1468.0324049382718;7698.412698412701;5
8;8;690.254627160494;3901.234567901237;5
9;9;372.3224066115703;1898.9898989899023;5
10;10;46706.069339944894;10647.382920110187;5
11;11;63677.689794082835;115657.34265734263;5
